1, 1
4, 1
2, 16
4, 2
2, 15
1, 3
2, 14
4, 3
2, 15
1, 4
2, 14
2, 14
4, 4
2, 16
4, 5
2, 16
4, 6
2, 15
1, 5
2, 14
2, 14
1, 7
2, 17
4, 5
2, 9
4, 6
2, 18
1, 8
1, 6
4, 2
2, 4
3, 1
1, 9
4, 2
2, 4
3, 2
1, 10
2, 14
1, 12
1, 13
2, 17
4, 2
2, 2
3, 3
2, 18
2, 12
4, 6
2, 19
4, 3
2, 4
3, 4
2, 14
2, 20
1, 14
2, 14
4, 7
2, 15
1, 4
2, 14
2, 14
4, 8
2, 15
1, 3
2, 14
2, 14
1, 7
2, 17
2, 13
2, 17
3, 5
2, 3
3, 6
2, 18
2, 9
2, 17
4, 4
2, 12
4, 5
2, 12
4, 6
2, 18
2, 9
2, 17
4, 2
2, 4
3, 7
2, 18
2, 18
1, 8
2, 19
4, 3
2, 4
3, 8
2, 14
4, 7
2, 4
3, 9
2, 14
1, 16
2, 17
4, 7
2, 3
3, 10
2, 18
2, 14
2, 20
1, 10
2, 14
1, 11
2, 17
2, 14
4, 4
2, 14
2, 18
2, 19
1, 15
2, 17
4, 6
2, 21
4, 2
2, 18
2, 14
1, 16
2, 17
4, 2
2, 18
2, 14
2, 20
2, 14
1, 2
